"Export in CSV","Export in CSV"
"View results","View results"
"Complete export in CSV","Complete export in CSV"
"Request","Request"
"From","From"
"To","To"
"My Request","My Request"
"Product","Product"
"Incorrect data provided.","Incorrect data provided."
"Bad product.","Bad product."
"Period has to be in the past, today can be included. It has to be a correct period because we can't travel time. Of course I'm not Marty McFly.","Period has to be in the past, today can be included. It has to be a correct period because we can't travel time. Of course I'm not Marty McFly."
"Quantity","Quantity"
"Amount tax excluded","Amount tax excluded"
"Tax amount","Tax amount"
"Amount tax included","Amount tax included"
"Discount amount","Discount amount"
"Discounted amount tax excluded","Discounted amount tax excluded"
"Back to the board","Back to the board"
"From %s","From %s"
"to today","to today"
"to %s","to %s"
"Today","Today"
"Sales","Sales"
"Board Sales","Board Sales"
"For product <em>[%s] %s</em>","For product <em>[%s] %s</em>"
"Board CRM","Board CRM"
"Marketing/CRM","Marketing/CRM"
