"Export in CSV","Exporter en CSV"
"View results","Afficher les résultats"
"Complete export in CSV","Export complet en CSV"
"Request","Requête"
"From","À partir de"
"To","Jusqu'à"
"My Request","Ma requête"
"Product","Produit"
"Incorrect data provided.","Données reçues incorrectes."
"Bad product.","Produit incorrect."
"Period has to be in the past, today can be included. It has to be a correct period because we can't travel time. Of course I'm not Marty McFly.","La période doit être dans le passé. Vous pouvez inclure la date du jour mais la période doit être correcte et logique, car nous ne pouvons pas voyager dans le temps ! Navré mais je ne suis pas Marty McFly :/. Il me manque le convecteur temporel."
"Quantity","Quantité"
"Amount tax excluded","Montant HT"
"Tax amount","Montant TVA"
"Amount tax included","Montant TTC"
"Discount amount","Montant réduction HT"
"Discounted amount tax excluded","Montant HT réduit"
"Back to the board","Retourner au tableau de bord"
"From %s","Du %s"
"to today","à aujourd'hui"
"to %s","au %s"
"Today","Aujourd'hui"
"Sales","Commercial"
"Board Sales","Board commercial"
"For product <em>[%s] %s</em>","Pour le produit <em>[%s] %s</em>"
"Board CRM","Board Marketing/CRM"
"Marketing/CRM","Marketing/CRM"
